COD_MATRICOLA_VEICOLO,DES_TARGA,DES_TARGA_PRECEDENTE,NUM_POSTI_A_SEDERE,NUM_POSTI_TOTALI_LIBRETTO,NUM_LUNGHEZZA_EFFETTIVA,NUM_MAX_CLASSE_DIMENSIONE,COD_DIMENSIONE,DES_DIMENSIONE,DES_CLASSE_DIMENSIONE,DES_NORMATIVA_INQUINANTI_CEE,COD_CARROZZERIA_MCTC,DES_CARROZZERIA_MCTC,COD_CATEGORIA_MCTC,DES_CATEGORIA_MCTC,COD_CLASSE_MCTC,DES_CLASSE_MCTC,COD_CLASSE_AMBIENTALE,DES_CLASSE_AMBIENTALE,COD_TIPO_PIANALE,DES_TIPO_PIANALE,COD_TIPO_VEICOLO,DES_TIPO_VEICOLO,COD_CARROZZERIA,DES_CARROZZERIA,COD_VERSIONE_CARROZZERIA,DES_VERSIONE_CARROZZERIA,COD_FAMIGLIA_BUS,DES_FAMIGLIA_BUS,DES_TIPO_PROPRIETA,COD_GRUPPO_VEICOLO,DES_GRUPPO_VEICOLO,COD_SCARL,DES_SCARL,COD_MARCA,DES_MARCA,COD_MODELLO,DES_MODELLO_MARCA,COD_ALIMENTAZIONE,DES_ALIMENTAZIONE,COD_STATO_VEICOLO_ATTUALE,DES_STATO_VEICOLO_ATTUALE,COD_USO_VEICOLO,DES_USO_VEICOLO,COD_ENTE_CONCEDENTE,DES_ENTE_CONCEDENTE,COD_LOTTO_CONTRATTO_BUS,DES_LOTTO_CONTRATTO_BUS,COD_DEPOSITO_BUS_ATTUALE,DES_DEPOSITO_BUS_ATTUALE,COD_DEPOSITO_BUS_ASSEGNATO,DES_DEPOSITO_BUS_ASSEGNATO,COD_SEDE_LAVORAZIONE_BUS,DES_SEDE_LAVORAZIONE_BUS,COD_PROPRIETARIO,DES_PROPRIETARIO,DES_TIPOLOGIA_PROPRIETARIO,COD_BACINO,COD_UNITA_PRODUTTIVA,COD_PRODOTTO_TRAZIONE,DES_PRODOTTO_TRAZIONE,COD_MOTORE,DAT_IMMATRICOLAZIONE,DAT_ENTRATA_SERVIZIO,DAT_USCITA_SERVIZIO,NUM_ANNI_ETA,DAT_ATTIVAZIONE_FULL_SERVICE,DAT_SCADENZA_FULL_SERVICE,DAT_INIZIO_CONTRATTO,DAT_FINE_CONTRATTO,DAT_ULTIMA_REVISIONE,DAT_SCADENZA_REVISIONE,DAT_SCADENZA_GARANZIA,DAT_ULTIMO_RIFORNIMENTO,DAT_ALIENAZIONE,DAT_AUT_ALIENAZIONE,FLG_VALIDITA,DAT_INIZIO_VALIDITA,DAT_FINE_VALIDITA,FLG_MOVIMENTO,NUM_KM_PROGR,IMP_PREZZO_ACQ,IMP_FINANZIAMENTO,IMP_VALORE_RESIDUO_ATT,FLG_LEASING,FLG_FULL_SERVICE
12,CA843LK,null,3,3,4.00,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,EURO3 1999/96 CEE,CU,A UN PIANO,N1,"AUTOCARRO (< 3,5 T)",A,CLASSE A,E3,EURO3,null,null,null,null,16,MERCEDES BENZ,003,2.9 VAN (CDI),02,AUTOCARRO,PROPRIETA,081,INT/COR - CORPORATE,null,null,MER,MERCEDES BENZ,002,311.CDI SRINTER,03,GASOLIO,R,ROTTAMATO ( NO ASSICURAZIONE ),null,null,null,null,null,null,LCH,LACCHIARELLA (DEPOSITO),LCH,LACCHIARELLA (DEPOSITO),LCH,LACCHIARELLA - SS105 VIA MILANO 5/7,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0067,2002-05-16,2002-05-16,2021-11-10,24,null,null,null,null,2020-08-04,2022-08-31,2004-05-16,2021-09-24,2021-11-10,null,S,2011-01-01,2999-12-31,S,295179,65000.00,0.00,791.50,N,N
18,PC352842,null,3,3,4.00,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,null,CU,A UN PIANO,N1,"AUTOCARRO (< 3,5 T)",A,CLASSE A,E0,EURO0,null,null,null,null,08,FIAT,001,1.9 BERLINA (TD),02,AUTOCARRO,PROPRIETA,999,OFF/COR - OFFICINA GENERICO,null,null,FIA,FIAT,018,DUCATO,03,GASOLIO,R,ROTTAMATO ( NO ASSICURAZIONE ),03,USO PROPRIO,99,VARI,null,null,SCM,null,SCM,null,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,999,null,1,GASOLIO AUT.,0089,1988-01-01,1988-01-01,2007-01-01,38,null,null,null,null,2006-05-19,2008-05-31,null,2010-06-11,2009-01-16,null,S,2000-01-01,2999-12-31,S,509914,0.00,0.00,0.00,N,N
38,DK695YA,null,2,2,3.84,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,EURO4 2003/76/CEE-B,CU,A UN PIANO,N1,"AUTOCARRO (< 3,5 T)",A,CLASSE A,E4,EURO4,null,null,null,null,08,FIAT,003,1.3 VAN (MJT),02,AUTOCARRO,PROPRIETA,081,INT/COR - CORPORATE,null,null,FIA,FIAT,019,PUNTO,03,GASOLIO,R,ROTTAMATO ( NO ASSICURAZIONE ),03,USO PROPRIO,99,VARI,null,null,LCH,LACCHIARELLA (DEPOSITO),LCH,LACCHIARELLA (DEPOSITO),LCH,LACCHIARELLA - SS105 VIA MILANO 5/7,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0080,2007-11-14,2007-11-14,null,18,null,null,null,null,2022-01-24,2024-01-31,2009-11-13,2022-11-16,2023-05-15,null,S,2000-01-01,2999-12-31,S,172340,15000.00,0.00,638.58,N,N
67,EK464GN,null,3,4,4.07,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,EURO5 715/2007*692/08,CU,A UN PIANO,N1,"AUTOCARRO (< 3,5 T)",A,CLASSE A,E5,EURO5,null,null,null,null,08,FIAT,010,1.3 ACTIVE (MJT),02,AUTOCARRO,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,FIA,FIAT,021,GRANDE PUNTO EVO,03,GASOLIO,A,ALIENATO ( NO ASSICURAZIONE ),03,USO PROPRIO,99,VARI,null,null,MGN,MILANO VIA MARIGNANO,MGN,MILANO VIA MARIGNANO,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0075,2011-09-20,2011-11-11,2016-11-15,14,null,null,2011-11-11,2016-11-09,2015-09-18,2017-09-30,2013-09-20,2016-10-03,null,null,S,2000-01-01,2999-12-31,S,103749,0.00,0.00,0.00,N,N
70,EM304NZ,null,3,4,4.07,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,EURO5 715/2007*692/08,CU,A UN PIANO,N1,"AUTOCARRO (< 3,5 T)",A,CLASSE A,E5,EURO5,null,null,null,null,08,FIAT,010,1.3 ACTIVE (MJT),02,AUTOCARRO,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,FIA,FIAT,021,GRANDE PUNTO EVO,03,GASOLIO,A,ALIENATO ( NO ASSICURAZIONE ),03,USO PROPRIO,98,ASSENTE,null,null,MGN,MILANO VIA MARIGNANO,MGN,MILANO VIA MARIGNANO,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0161,2012-04-24,2012-05-28,2017-08-25,14,null,null,2012-05-21,2017-08-17,2016-04-12,2018-04-30,2014-05-28,2017-08-04,2017-08-25,null,S,2000-01-01,2999-12-31,S,110400,0.00,0.00,0.00,N,N
93,FF311GL,null,3,4,4.02,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,136/2014 (EURO6B),CU,A UN PIANO,N1,"AUTOCARRO (< 3,5 T)",A,CLASSE A,E6,EURO6,null,null,null,null,18,OPEL,005,1.3 VAN (CDTI),02,AUTOCARRO,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,OPE,OPEL,002,CORSA,03,GASOLIO,A,ALIENATO ( NO ASSICURAZIONE ),03,USO PROPRIO,99,VARI,null,null,DES,DESIO VIA ROSSA,DES,DESIO VIA ROSSA,DES,"DESIO - VIA GUIDO ROSSA, 17",AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0175,2016-07-29,2016-09-15,2021-11-10,9,null,null,2016-09-14,2021-09-14,2020-07-14,2022-07-31,2018-07-29,2021-11-10,null,null,S,2016-07-29,2999-12-31,S,122163,0.00,0.00,0.00,N,N
161,GV488ZG,null,4,5,4.09,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,null,CU,A UN PIANO,M1,AUTOVETTURA,A,CLASSE A,EL,ELETTRICO,01,RIBASSATO TOTALMENTE,null,null,22,RENAULT,null,null,01,AUTOVETTURA,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,REN,RENAULT,007,ZOE,04,ELETTRICA,E,ESERCIZIO,null,null,null,null,null,null,QTL,MILANO VIA QUINTILIANO,DES,DESIO VIA ROSSA,DES,"DESIO - VIA GUIDO ROSSA, 17",AGI,AUTOGUIDOVIE,INTERNA,COR,null,E,ENERGIA ELETTRICA,0212,2024-06-28,2024-07-26,null,2,null,null,null,null,null,2028-06-30,null,2026-06-30,null,null,S,2000-01-01,2999-12-31,S,31858,0.00,0.00,0.00,N,N
186,HA579NB,null,4,5,4.05,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,null,null,null,M1,AUTOVETTURA,null,null,E6,EURO6,null,null,null,null,null,null,null,null,01,AUTOVETTURA,LOCAZIONE,981,NLT/COR - CORPORATE,null,null,REN,RENAULT,002,CLIO,03,GASOLIO,E,ESERCIZIO,03,USO PROPRIO,98,ASSENTE,null,null,MGN,MILANO VIA MARIGNANO,DES,DESIO VIA ROSSA,DES,"DESIO - VIA GUIDO ROSSA, 17",AGI,AUTOGUIDOVIE,INTERNA,COR,null,1H,GASOLIO AUT/HVO,0216,2025-07-30,null,null,0,null,null,null,null,null,2029-07-31,null,2026-06-17,null,null,S,2024-09-19,2999-12-31,S,8998,0.00,0.00,0.00,null,N
218,CV942XN,null,7,7,4.00,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,EURO3 99/96-A,CU,A UN PIANO,M1,AUTOVETTURA,A,CLASSE A,E3,EURO3,null,null,null,null,43,DAIMLER CRYSLER,001,2.8 MONOVOLUME (CRD),01,AUTOVETTURA,LEASING,081,INT/COR - CORPORATE,null,null,DCR,DAIMLER CHRYSLER,001,GRAND VOYAGER,03,GASOLIO,V,VENDUTO ( NO ASSICURAZIONE ),03,USO PROPRIO,99,VARI,null,null,QTL,MILANO VIA QUINTILIANO,QTL,MILANO VIA QUINTILIANO,MGN,MILANO - VIA MARIGNANO 77,AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0089,2005-05-05,2005-05-05,2007-10-01,21,null,null,null,null,null,2009-05-31,null,2007-10-29,2007-10-01,null,S,2000-01-01,2999-12-31,S,180800,0.00,0.00,0.00,N,N
225,DH301RT,null,4,5,0.00,6.00,00,CORTISSIMO,CORTISSIMO da 0.00 m a 6.00 m,EURO4 2003/76/CEE-B,CU,A UN PIANO,M1,AUTOVETTURA,A,CLASSE A,E4,EURO4,null,null,null,null,34,TOYOTA,002,1.4 TREND (DIESEL),01,AUTOVETTURA,PROPRIETA,081,INT/COR - CORPORATE,null,null,TOY,TOYOTA,001,YARIS,03,GASOLIO,R,ROTTAMATO ( NO ASSICURAZIONE ),03,USO PROPRIO,98,ASSENTE,null,null,DES,DESIO VIA ROSSA,DES,DESIO VIA ROSSA,DES,"DESIO - VIA GUIDO ROSSA, 17",AGI,AUTOGUIDOVIE,INTERNA,COR,null,1,GASOLIO AUT.,0132,2007-06-06,2007-06-06,2019-03-16,19,null,null,null,null,2017-06-09,2019-06-30,2009-06-06,2019-03-16,2021-05-11,null,S,2000-01-01,2999-12-31,S,242000,0.00,0.00,0.00,N,N
