DAT_DATA_SERVIZIO,COD_ANNO_STAGIONE,DES_ANNO_STAGIONE,DES_STAGIONALITA,DES_TIPOLOGIA_GIORNO,DES_PERIODICITA,FLG_ESCLUSIONE_STATISTICA,DES_MOTIVO_ESCLUSIONE
2010-01-01,null,null,Servizio Sospeso,Servizio Sospeso,Servizio Sospeso,N,null
2010-01-02,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-01-03,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-01-04,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-05,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-06,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-01-07,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-08,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-09,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-01-10,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-01-11,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-12,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-13,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-14,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-15,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-16,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-01-17,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-01-18,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-19,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-20,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-21,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-22,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-23,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-01-24,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-01-25,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-26,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-27,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-28,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-29,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-01-30,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-01-31,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-02-01,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-02,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-03,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-04,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-05,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-06,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-02-07,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-02-08,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-09,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-10,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-11,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-12,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-13,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-02-14,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-02-15,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-16,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-17,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-18,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-19,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-20,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-02-21,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-02-22,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-23,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-24,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-25,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-26,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-02-27,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-02-28,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-03-01,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-02,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-03,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-04,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-05,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-06,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-03-07,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-03-08,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-09,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-10,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-11,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-12,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-13,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-03-14,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-03-15,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-16,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-17,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-18,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-19,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-20,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-03-21,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-03-22,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-23,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-24,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-25,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-26,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-27,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-03-28,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-03-29,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-30,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-03-31,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-01,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-02,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-03,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-04-04,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-04-05,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-04-06,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-07,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-08,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-09,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-10,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-04-11,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-04-12,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-13,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-14,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-15,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-16,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-17,null,null,Invernale,Sabato,Sabato Invernale,N,null
2010-04-18,null,null,Invernale,Festivo,Festivo Invernale,N,null
2010-04-19,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-20,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
2010-04-21,null,null,Invernale,Feriale Lun-Ven,Feriale Invernale,N,null
