fermata;lat;lon
ZBP012;45,41079953;9,436814005
CNB039;45,54671199;9,218364956
CNB042;45,56395733;9,216496657
CNB043;45,55899155;9,218868893
CNB046;45,5634716;9,217072362
CNB047;45,5592028;9,219102746
CNB050;45,57048334;9,212729227
CNB051;45,57030336;9,212682667
CNB052;45,54008977;9,218447863
CNB053;45,54639171;9,218094471
CNB056;45,56905712;9,219419316
CNB058;45,56865627;9,218667241
CNB061;45,55349179;9,228087728
CNB062;45,55906645;9,227602485
CNB063;45,55327696;9,227673294
CNB064;45,55655416;9,227814499
CNB065;45,55654742;9,227465382
CNB070;45,55839215;9,207087871
CNB071;45,55731684;9,200877814
CNB072;45,55984089;9,213253872
CNB073;45,57125197;9,209151397
CNB075;45,55628192;9,219009779
CNB076;45,55377989;9,218589464
CNB077;45,5533898;9,218921508
CNB078;45,55617198;9,219206587
CNB083;45,57094936;9,209701379
CNB085;45,55779374;9,220529641
LSS055;45,61185749;9,245792682
LSS056;45,61877759;9,238433939
LSS057;45,61862341;9,238883706
LSS058;45,62353562;9,232342153
LSS059;45,62889682;9,242968328
LSS060;45,62888791;9,243676002
LSS061;45,62783179;9,238421752
LSS062;45,62772008;9,238685345
LSS063;45,62763745;9,246094789
LSS064;45,61917579;9,241905877
LSS065;45,61941201;9,241917167
LSS066;45,61003423;9,241989527
MCH002;45,64092875;9,268630388
MCH003;45,64074406;9,26910859
MCH004;45,63961629;9,269708849
MCH005;45,63943473;9,270109422
MCH006;45,63229544;9,251088514
MCH007;45,63511683;9,250854589
MCH008;45,63766899;9,262333824
MCH009;45,63784216;9,261933919
MCH010;45,63501876;9,251485741
MCH011;45,63808234;9,26672457
MCH012;45,63776162;9,266553217
MDA001;45,66341348;9,163601577
MDA002;45,6633656;9,163827495
MDA003;45,66102291;9,161560169
MDA004;45,66283708;9,17020558
MDA011;45,66216405;9,161642576
MDA012;45,65593398;9,172083618
MDA013;45,65763768;9,165764172
MDA014;45,65605887;9,172857065
MDA016;45,65809298;9,165320387
MGG001;45,59137387;9,21444396
MGG002;45,59682891;9,233704548
MGG003;45,59753851;9,233617177
MGG004;45,59573294;9,233420081
MGG005;45,59533284;9,233033307
MGG006;45,57114678;9,221374361
