stop_id,stop_code,stop_name,stop_lat,stop_lon
AAR006,AAR006,ALBAREDO ARNABOLDI Moranda - SP617,45.11511301,9.23715589
AAR007,AAR007,ALBAREDO ARNABOLDI Moranda - SP617,45.11487464,9.23698171
ABU002,ABU002,ALBUZZANO Barona - Partigiani/Olona,45.20875248,9.27607816
ABU003,ABU003,ALBUZZANO Barona - Partigiani/Olona,45.20879796,9.27645402
ABU004,ABU004,ALBUZZANO Barona - SP115/Cavo Marocco,45.20523393,9.27603277
ABU005,ABU005,ALBUZZANO Vigalfo - Vigalfo/Lodi,45.19586523,9.28364244
ABU006,ABU006,ALBUZZANO Vigalfo - Vigalfo/Lodi,45.19574677,9.28347002
ABU007,ABU007,ALBUZZANO Venco/Mazzini,45.18621441,9.27470441
ABU009,ABU009,ALBUZZANO Alessandrina/I Maggio,45.18788812,9.26774477
ABU010,ABU010,ALBUZZANO Alessandrina/Boffalora,45.1879849,9.26795487
ABU011,ABU011,ALBUZZANO Venco/Mazzini,45.18609486,9.27478808
ABU012,ABU012,ALBUZZANO Prelini (Cimitero),45.18508691,9.2781258
ABU013,ABU013,ALBUZZANO Prelini (Cimitero),45.18528274,9.27793929
ALO001,ALO001,ALAGNA Vittorio Veneto/Castello,45.16999073,8.88913234
ALO002,ALO002,ALAGNA Vittorio Veneto/Castello,45.16993218,8.8893936
ARP001,ARP001,ZENEVREDO Salerno - SP10,45.06862481,9.35066698
ARP003,ARP003,"ARENA PO Frega - Porticone, 7",45.09737609,9.34081327
ARP004,ARP004,"ARENA PO Frega - Porticone, 7",45.09725475,9.3407777
ARP005,ARP005,ZENEVREDO Salerno - SP10,45.06847959,9.35123603
ASS500,ASS500,ASSAGO Assago Forum M2,45.40070362,9.14613237
ASS601,ASS601,ASSAGO Assago Forum M2,45.40062697,9.14609668
ASS602,ASS602,ASSAGO Milanofiori/Assago Forum M2,45.40056454,9.14665164
BAO001,BAO001,BARBIANELLO Vittorio Emanuele (Chiesa),45.0762573,9.20531277
BAO002,BAO002,BARBIANELLO Vittorio Emanuele (Chiesa),45.07623812,9.20523507
BAT001,BAT001,BATTUDA Torradello - SP22/Giovanni Paolo II,45.26584996,9.06566503
BAT002,BAT002,BATTUDA Torradello - SP22/Giovanni Paolo II,45.26587667,9.06627372
BAT003,BAT003,BATTUDA Rebecchino/Torrino,45.27422056,9.07750879
BAT004,BAT004,BATTUDA Rebecchino/Torrino,45.27415952,9.07751692
BCO001,BCO001,BOSNASCO Groppallo (Chiesa),45.06405026,9.35749519
BCO002,BCO002,BOSNASCO Groppallo (Chiesa),45.06396784,9.35730223
BCO003,BCO003,BOSNASCO Cardazzo - Fabbrica,45.06537249,9.37733948
BCO004,BCO004,BOSNASCO Cardazzo - Fabbrica,45.06532061,9.37728521
BCO005,BCO005,BOSNASCO Sparano Superiore - SP61,45.04918817,9.34882684
BCO006,BCO006,BOSNASCO Sparano Superiore - SP61,45.04890392,9.34898026
BCO007,BCO007,BOSNASCO Cascina Lupa (Franza),45.05760824,9.36002163
BCO008,BCO008,BOSNASCO Cascina Lupa (Franza),45.05733857,9.35994193
BDP001,BDP001,BADIA PAVESE Roma (Comune),45.12111953,9.46803367
BDP002,BDP002,BADIA PAVESE Roma (Comune),45.12148999,9.46846475
BEG001,BEG001,BELGIOIOSO Garibaldi (Comune),45.16245928,9.31458371
BEG002,BEG002,BELGIOIOSO Garibaldi (Comune),45.1623561,9.3145148
BEG003,BEG003,BELGIOIOSO Criminali/Nenni,45.15691954,9.31915535
BEG004,BEG004,BELGIOIOSO Dante/Natta (Zona Industriale),45.16281131,9.28848133
BEG005,BEG005,BELGIOIOSO Dante/Natta (Zona Industriale),45.16192442,9.29317948
BEG006,BEG006,BELGIOIOSO Dante/Da Barbiano,45.16049174,9.30810411
BEG007,BEG007,BELGIOIOSO Dante/Leopardi,45.16066498,9.30795237
BEG008,BEG008,BELGIOIOSO Vittorio Veneto (Castello),45.16088612,9.31434294
BEG009,BEG009,BELGIOIOSO Vittorio Veneto (Castello),45.16053308,9.31419557
BEG011,BEG011,BELGIOIOSO XX Settembre/Ghinaglia,45.15883766,9.32003425
BEG012,BEG012,BELGIOIOSO XX Settembre/Criminali,45.15937177,9.31560003
BEG013,BEG013,BELGIOIOSO XX Settembre/Criminali,45.15947518,9.31553913
BEG014,BEG014,BELGIOIOSO XX Settembre/Ghinaglia,45.15871906,9.32013509
BEG015,BEG015,BELGIOIOSO Zagonara - SP234,45.15674885,9.35201787
BEG016,BEG016,BELGIOIOSO Zagonara - SP234,45.15664811,9.35224738
BEG018,BEG018,BELGIOIOSO Criminali/Nenni,45.15703394,9.31869769
BEO001,BEO001,BEREGUARDO Vigna del Pero - SP130,45.23701963,9.04410124
BEO002,BEO002,BEREGUARDO Vigna del Pero - SP130,45.23710632,9.04414222
BEO003,BEO003,TORRE D'ISOLA Vigna del Pero - Boffalora,45.23983107,9.03968653
BEO004,BEO004,BEREGUARDO Vigna del Pero - Boffalora,45.23993278,9.03950794
BEO005,BEO005,TRIVOLZIO Pavia/Roma,45.2543862,9.03695014
BEO006,BEO006,TRIVOLZIO Pavia/Roma,45.25468073,9.03667518
BEO007,BEO007,BEREGUARDO Zelata - Della Chiesa,45.26314774,9.0035396
BEO008,BEO008,BEREGUARDO Zelata - Della Chiesa,45.26321041,9.00363412
BEO009,BEO009,BEREGUARDO Morianino - SP130,45.24452082,9.0366439
BEO010,BEO010,BEREGUARDO Morianino - SP130,45.24445217,9.03663423
BEO011,BEO011,BEREGUARDO Quartiere Villette/Pavia,45.25445737,9.03635929
BEO012,BEO012,BEREGUARDO Partigiani/Verdi,45.25693167,9.03123018
BEO013,BEO013,BEREGUARDO Partigiani/Verdi,45.25709941,9.03100982
BEO014,BEO014,BEREGUARDO Patrioti,45.25821437,9.02691984
BEO015,BEO015,BEREGUARDO Patrioti,45.25814947,9.0274864
BEO016,BEO016,BEREGUARDO Quartiere Villette/Pavia,45.2541293,9.03632286
BIA002,BIA002,BAGNARIA IV Novembre (Municipio),44.82575926,9.12362482
BIA003,BIA003,BAGNARIA IV Novembre (Municipio),44.82566387,9.12349611
BIA004,BIA004,BAGNARIA Ponte Crenna - Roma/Manzoni,44.82340188,9.15484314
BIA005,BIA005,BAGNARIA Ponte Crenna - Roma/Manzoni,44.82330499,9.1554606
BIA006,BIA006,BAGNARIA Colombaia - SP461,44.83464285,9.11635724
BIA007,BIA007,BAGNARIA Colombaia - SP461,44.83523726,9.11508353
BIA008,BIA008,BAGNARIA SP461 (Lazzuola),44.82484611,9.1708294
BIA009,BIA009,BAGNARIA SP461 (Lazzuola),44.82466821,9.17079455
BIA010,BIA010,BAGNARIA Casa Arcano - SP461,44.82341946,9.13976321
BIA011,BIA011,BAGNARIA Casa Arcano - SP461,44.82372539,9.14210794
BIA012,BIA012,BAGNARIA IV Novembre/Rio Castello,44.82779602,9.12106
BIA013,BIA013,BAGNARIA IV Novembre/Rio Castello,44.8282566,9.12102663
BIA014,BIA014,"BAGNARIA IV Novembre, 20",44.82369576,9.12724784
BIA015,BIA015,"BAGNARIA IV Novembre, 20",44.82360954,9.12717444
BIA016,BIA016,BAGNARIA Spizzirò - SP461,44.83824436,9.11125705
BIA017,BIA017,BAGNARIA Spizzirò - SP461,44.8382586,9.11097267
BIN001,BIN001,BINASCO Autostazione (direzione Milano),45.33115287,9.10157405
BIN002,BIN002,BINASCO Autostazione (direzione Pavia),45.33099249,9.10159487
BLO001,BLO001,BORGARELLO Corbellini (Municipio),45.23965005,9.14033593
BLO002,BLO002,BORGARELLO Pavia/Dante,45.2396991,9.13655965
BMO001,BMO001,BORGORATTO MORMOROLO Ca' Bernocchi - Gabbione,44.94710683,9.1894395
BMO002,BMO002,BORGORATTO MORMOROLO Inveriaghi - SP203,44.92461841,9.19534634
BMO003,BMO003,BORGORATTO MORMOROLO Roma/Libertà (Municipio),44.93134255,9.19289139
BMO004,BMO004,BORGORATTO MORMOROLO Cà Bernocchi - SP203,44.94373577,9.18834079
BMO005,BMO005,BORGORATTO MORMOROLO Roma/Libertà (Municipio),44.93129177,9.19302421
BMO006,BMO006,BORGORATTO MORMOROLO Inveriaghi - SP203,44.92481483,9.1953953
BMO007,BMO007,BORGORATTO MORMOROLO Ca' Bernocchi - Gabbione,44.94709624,9.18939557
BMO008,BMO008,BORGORATTO MORMOROLO Braglia - SP203,44.93913278,9.18996338
BMO009,BMO009,BORGORATTO MORMOROLO Braglia - SP203,44.93910753,9.18990383
BMO010,BMO010,BORGORATTO MORMOROLO Zebedo (Cappelletta),44.93111144,9.18836105
BMO012,BMO012,BORGORATTO MORMOROLO Cà Bernocchi - SP203,44.94366567,9.18856431
BMO013,BMO013,BORGORATTO MORMOROLO SP203 - località Chiesa,44.92772857,9.19700792
